code,description,specification
dv3a,"DMB AF video with AVC video, HE-AAC audio, BIFS, JPG/PNG/MNG images, TS",DMB-MAF
dv3b,"DMB AF extending dv3a with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
dvr1,DVB RTP,DVB
dvt1,DVB Transport Stream,DVB
dxo$20,DxO ONE camera,DxO
emsg,Event message box present,DASH
heic,HEVC image and image collection brands,HEIF
heim,L-HEVC image and image collection brands,HEIF
heis,L-HEVC image and image collection brands,HEIF
heix,HEVC image and image collection brands,HEIF
heoi,OMAF HEVC image profile,OMAF
hevc,HEVC image sequence brands,HEIF
hevd,HEVC-based viewport-dependent OMAF video profile,OMAF
hevi,HEVC-based viewport-independent OMAF video profile,OMAF
hevm,L-HEVC image sequence brands,HEIF
hevs,L-HEVC image sequence brands,HEIF
hevx,HEVC image sequence brands,HEIF
hvce,L-HEVC explicit reconstruction,NALu Video
hvci,L-HEVC implicit reconstruction,NALu Video
hvcx,L-HEVC extended explicit reconstruction brand,NALu Video
hvti,HEVC Tile Track,NALu Video
ifsd,The IFE-SD Media Profile,IFE
ifhs,The IFE-HSD Media Profile,IFE
ifhd,The IFE-HD Media Profile,IFE
ifhx,The IFE-HHD10 Media Profile,IFE
ifhh,The IFE-HDHDR Media Profile,IFE
ifhu,The IFE-UHD10 Media Profile,IFE
ifhr,The IFE-HDR10 Media Profile,IFE
ifaa,The IFE-AAC Core Media Profile,IFE
ifas,The IFE-AV1-SD Media Profile,IFE
ifah,The IFE-AV1-HD Media Profile,IFE
ifai,The IFE-AV1-HDHDR Media Profile,IFE
ifau,The IFE-AV1-UHD10 Media Profile,IFE
ifav,The IFE-AV1-HDR10 Media Profile,IFE
ifrm,"Apple iFrame Specification, Version 8.1 Jan 2013",Apple
im1i,CMAF Media Profile - IMSC1 Image,CMAF
im1t,CMAF Media Profile - IMSC1 Text,CMAF
im2i,CMAF Media Profile - IMSC1.1 Image,CMAF
im2t,CMAF Media Profile - IMSC1.1 Text,CMAF
isc2,Files encrypted according to ISMACryp 2.0,ISMACryp2
iso2,All files based on the 2004 edition of the ISO file format,ISO
iso3,Version of the ISO file format,ISO
iso4,Version of the ISO file format,ISO
iso5,Version of the ISO file format,ISO
iso6,Version of the ISO file format,ISO
iso7,Version of the ISO file format,ISO
iso8,Version of the ISO file format,ISO
iso9,Version of the ISO file format,ISO
isoa,Version of the ISO file format,ISO
isob,Version of the ISO file format,ISO
isoc,Version of the ISO file format,ISO
isom,All files based on the ISO Base Media File Format,ISO
j2ki,JPEG 2000 image and image collections in ISO/IEC 23008-12 files,J2KHEIF
j2ks,Motion JPEG 2000 in ISO/IEC 23008-12 files,J2KHEIF
j2is,JPEG 2000 image sequence in ISO/IEC 23008-12 files,J2KHEIF
J2P0,JPEG2000 Profile 0,JPEG2000
J2P1,JPEG2000 Profile 1,JPEG2000
jp2$20,JPEG2000 Part 1,JPEG2000
jpeg,JPEG-specific still image brand,HEIF
jpgs,JPEG image sequence brands,HEIF
jpm$20,JPEG 2000 Part 6 Compound Images,JPM
jpoi,OMAF legacy image profile,OMAF
jpsi,"The JPSearch data interchange format, for the exchange of image collections and respective metadata",JPSearch
jpx$20,JPEG2000 Part 2,JPX
jpxb,JPEG XR,JPXR
jxl$20,JPEG XL,JPEG XL
jxs$20,Still Image File Format for JPEG XS,JPXS
jxsc,Codestream for JPEG XS,JPXS
jxsi,JPEG XS image and image collections for HEIF,JPXS
jxss,JPEG XS image sequences for HEIF,JPXS
LCAG,Leica digital camera,Leica
lhte,L-HEVC Tile Track Explicit brand,NALu Video
lhti,L-HEVC Tile Track Implicit brand,NALu Video
lmsg,last Media Segment indicator for ISO base media file format.,DASH
M4A$20,"iTunes MPEG-4 audio protected or not, can contain audio + video + 3g text track + chapter track",iTunes
M4B$20,"iTunes AudioBook protected or not, can contain audio + video + 3g text track + chapter track",iTunes
M4P$20,MPEG-4 protected audio,iTunes
M4V$20,MPEG-4 protected audio+video,iTunes
MA1B,AVIF Baseline Profile,AVIF
MA1A,AVIF Advanced Profile,AVIF
MFSM,Media File for Samsung video Metadata,Samsung
MGSV,Home and Mobile Multimedia Platform (HMMP),Sony
MiAB,Multi-Image Application format brand for MIAF AVC Basic Profile,MIAF
MiAC,Multi-Image Application format brand for fragmented alpha video,MIAF
miaf,Multi-Image Application format brand for general MIAF requirements,MIAF
MiAn,Mutli-Image Application format brand for animation,MIAF
MiBu,Multi-Image Application format brand for burst capture,MIAF
MiCm,Multi-Image Application format brand for CMAF compatibility,MIAF
mif1,Image file format structural brand,HEIF
MiHA,Multi-Image Application format brand for MIAF HEVC Advanced Profile,MIAF
MiHB,Multi-Image Application format brand for MIAF HEVC Basic Profile,MIAF
MiHE,Multi-Image Application format brand for MIAF HEVC Extended Profile,MIAF
MiPr,Multi-Image Application format brand for progressive decoding and rendering,MIAF
mj2s,Motion JPEG 2000 simple profile,MJ2
mjp2,"Motion JPEG 2000, general profile",MJ2
mp21,MPEG-21,MPEG-21
mp41,MP4 version 1,MP4v2
mp42,MP4 version 2,MP4v2
mp71,MPEG-7 file-level metadata,ISO
MPPI,Photo Player Multimedia Application Format,ISO-MAF
mpuf,Compliance with the MMT Processing Unit format,MMT
msf1,Image file format structural brand,HEIF
msdh,Media Segment conforming to the general format type for ISO base media file format.,DASH
msix,Media Segment conforming to the Indexed Media Segment format type for ISO base media file format.,DASH
MSNV,Portable multimedia CE products using MP4 file format with AVC video codec and AAC audio codec,IEC 62592
niko,Nikon Digital Camera,Nikon
nlsl,Non-linear storyline toolset brand,OMAF
nras,No Leading Picture Sync Brand,NALu Video
oa2d,OMAF 2D audio legacy profile,OMAF
oabl,OMAF 3D audio baseline profile,OMAF
odcf,OMA DCF (DRM Content Format),OMA DRM 2.0
ompp,OMAF viewport-independent baseline presentation profile,OMAF
opf2,OMA PDCF (DRM Content Format),OMA DRM 2.1
opx2,OMA Adapted PDCF,OMA DRM XBS
ovdp,OMAF viewport-dependent baseline presentation profile,OMAF
ovly,Overlay toolset brand,OMAF
paff,"Generic Partial File",ISO-Partial
pana,Panasonic Digital Camera,Panasonic
piff,Protected Interoperable File Format,PIFF
pmff,"Mixed Partial File",ISO-Partial
pnvi,Panasonic Video Intercom,Panasonic Video Intercom
qt$20$20,QuickTime,QT
relo,combination brand to indicate relative addressing,ISO
risx,Representation Index Segment used to index MPEG-2 TS based Media Segments.,DASH
ROSS,Ross Video,Ross
sdv$20,SD Video,SDV
SEAU,Home and Mobile Multimedia Platform (HMMP),Sony
SEBK,Home and Mobile Multimedia Platform (HMMP),Sony
senv,Video contents Sony Entertainment Network provides by using MP4 file format,Sony
sims,Media Segment conforming to the Sub-Indexed Media Segment format type for ISO base media file format.,DASH
sisx,Single Index Segment used to index MPEG-2 TS based Media Segments.,DASH
siti,HEVC-based simple tiling OMAF video profile,OMAF
sitv,VVC-based simple tiling OMAF video profile,OMAF
slh1,Dynamic metadata for Single Layer SDR-compatible HDR video streams,SL-HDR
slh2,Dynamic metadata for Single Layer PQ-based HDR video streams,SL-HDR
slh3,Dynamic metadata for Single Layer HLG-based HDR video streams,SL-HDR
ssss,Subsegment Index Segment used to index MPEG-2 TS based Media Segments.,DASH
ttml,OMAF IMSC1 timed text profile,OMAF
ttwv,OMAF WebVTT timed text profile,OMAF
uhvi,Unconstrained HEVC-based viewport-independent OMAF video profile,OMAF
unif,Unified identifiers,ISO
uvvu,"UltraViolet file brand – conforming to the DECE Common File Format spec, Annex E.",DECE
v3mp,Multi-track encapsulation mode for V3C data with partial access support,V3C-SYS
v3mt,Multi-track encapsulation mode for V3C data,V3C-SYS
v3nt,Non-timed encpasulation mode for V3C data,V3C-SYS
v3st,Single-track encapsulation mode for V3C data,V3C-SYS
vvci,VVC-based viewport-independent OMAF video profile,OMAF
vvoi,OMAF VVC image profile,OMAF
vwpt,Viewpoint toolset brand,OMAF
XAVC,XAVC File Format,Sony
yt4$20,Google specification for use by YouTube apps,Youtube
chd2,CMAF High frame rate Media Profile - HEVC HDR10H,CMAF
cint,CMAF Interlaced Media Profile - INT10,CMAF
clg2,CMAF High frame rate Media Profile - HEVC HLG10H,CMAF
cud2,CMAF High frame rate Media Profile - HEVC UHD10H,CMAF
cud9,CMAF High frame rate Media Profile - HEVC UHD8H,CMAF
mif2,Image file format structural brand CICP alpha and depth,HEIF
pred,Image file format brand for predictively coded image items,HEIF
